Mag_X,Mag_Y,Mag_Z
1005.0,8102.0,-725.0
1015.0,8147.0,-822.0
1045.0,8142.0,-867.0
1020.0,8092.0,-842.0
1030.0,8107.0,-877.0
1040.0,8177.0,-882.0
1030.0,8162.0,-912.0
1040.0,8192.0,-912.0
1055.0,8147.0,-947.0
1015.0,8107.0,-975.0
1050.0,8182.0,-1005.0
1055.0,8122.0,-967.0
1030.0,8092.0,-962.0
1097.0,8157.0,-947.0
1040.0,8122.0,-1010.0
1112.0,8172.0,-1015.0
1107.0,8157.0,-985.0
1082.0,8087.0,-967.0
1092.0,8162.0,-985.0
1155.0,8102.0,-990.0
1155.0,8102.0,-990.0
1087.0,8182.0,-980.0
1107.0,8112.0,-912.0
1102.0,8137.0,-927.0
1160.0,8152.0,-927.0
1160.0,8152.0,-927.0
1067.0,8132.0,-912.0
1120.0,8117.0,-892.0
1120.0,8142.0,-877.0
1145.0,8187.0,-882.0
1145.0,8142.0,-852.0
1125.0,8052.0,-822.0
1120.0,8147.0,-817.0
1102.0,8132.0,-790.0
1097.0,8157.0,-760.0
1082.0,8147.0,-755.0
1077.0,8097.0,-735.0
1067.0,8122.0,-685.0
1062.0,8142.0,-700.0
1040.0,8092.0,-705.0
1082.0,8072.0,-700.0
1082.0,8107.0,-700.0
1082.0,8107.0,-700.0
1067.0,8127.0,-735.0
1072.0,8157.0,-715.0
1077.0,8137.0,-690.0
1055.0,8122.0,-685.0
1125.0,8117.0,-642.0
1120.0,8112.0,-602.0
1077.0,8117.0,-617.0
1087.0,8112.0,-602.0
1062.0,8092.0,-557.0
1072.0,8137.0,-567.0
1102.0,8097.0,-572.0
1102.0,8127.0,-642.0
1087.0,8172.0,-547.0
1107.0,8142.0,-597.0
1077.0,8077.0,-572.0
1102.0,8107.0,-582.0
1072.0,8107.0,-542.0
1082.0,8072.0,-562.0
1102.0,8087.0,-632.0
1112.0,8052.0,-572.0
1072.0,8082.0,-622.0
1087.0,8122.0,-675.0
1067.0,8027.0,-675.0
1072.0,8147.0,-700.0
1087.0,8057.0,-730.0
1045.0,8072.0,-730.0
1112.0,8152.0,-867.0
1112.0,8152.0,-867.0
1020.0,8092.0,-907.0
1040.0,8187.0,-1020.0
1030.0,8122.0,-1055.0
1067.0,8127.0,-1147.0
1150.0,8235.0,-1227.0
1112.0,8137.0,-1222.0
1087.0,8117.0,-1272.0
1197.0,8270.0,-1420.0
1207.0,8177.0,-1572.0
1245.0,8240.0,-1680.0
1197.0,8162.0,-1715.0
1222.0,8117.0,-1817.0
1260.0,8117.0,-1922.0
1240.0,8082.0,-1985.0
1202.0,8142.0,-2075.0
1217.0,8102.0,-2137.0
1182.0,8082.0,-2172.0
1255.0,8077.0,-2315.0
1250.0,8082.0,-2395.0
1212.0,8007.0,-2425.0
1212.0,8007.0,-2425.0
1187.0,7960.0,-2615.0
1112.0,7935.0,-2715.0
1112.0,7925.0,-2772.0
1092.0,7925.0,-2867.0
1055.0,7875.0,-2897.0
1040.0,7880.0,-2975.0
1015.0,7747.0,-3080.0
997.0,7785.0,-3177.0
992.0,7785.0,-3217.0
905.0,7682.0,-3290.0
895.0,7627.0,-3390.0
857.0,7557.0,-3395.0
830.0,7505.0,-3497.0
820.0,7535.0,-3575.0
820.0,7535.0,-3575.0
785.0,7435.0,-3752.0
785.0,7435.0,-3752.0
825.0,7400.0,-3797.0
767.0,7340.0,-3940.0
810.0,7297.0,-3980.0
877.0,7232.0,-4010.0
935.0,7197.0,-4087.0
962.0,7247.0,-4162.0
977.0,7095.0,-4245.0
982.0,7115.0,-4300.0
1030.0,7045.0,-4350.0
1045.0,6950.0,-4345.0
935.0,6940.0,-4432.0
910.0,6915.0,-4432.0
852.0,6857.0,-4447.0
852.0,6857.0,-4447.0
825.0,6787.0,-4497.0
762.0,6742.0,-4542.0
742.0,6712.0,-4575.0
670.0,6670.0,-4630.0
727.0,6640.0,-4665.0
720.0,6640.0,-4690.0
700.0,6570.0,-4670.0
742.0,6540.0,-4700.0
732.0,6565.0,-4792.0
737.0,6520.0,-4802.0
700.0,6452.0,-4782.0
670.0,6437.0,-4802.0
705.0,6377.0,-4797.0
705.0,6377.0,-4797.0
