timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1723940859.9793816,138.218994140625,-95.0,99.0,-2745.0,1.0,-5.0
1723940859.989465,138.22900390625,-99.0,97.0,-2751.0,3.0,-8.0
1723940859.9946394,138.23399353027344,-94.0,98.0,-2735.0,13.0,-3.0
1723940860.0044281,138.24400329589844,-101.0,96.0,-2756.0,7.0,-4.0
1723940860.0089402,138.24899291992188,-107.0,100.0,-2732.0,0.0,1.0
1723940860.02193,138.25900268554688,-93.0,97.0,-2754.0,3.0,-11.0
1723940860.0248446,138.26400756835938,-103.0,94.0,-2748.0,1.0,-12.0
1723940860.0343802,138.2740020751953,-99.0,100.0,-2757.0,6.0,-1.0
1723940860.0396304,138.2790069580078,-95.0,93.0,-2737.0,4.0,-11.0
1723940860.0494537,138.28900146484375,-98.0,98.0,-2757.0,0.0,-1.0
1723940860.0543995,138.29400634765625,-104.0,101.0,-2741.0,8.0,-3.0
1723940860.0642858,138.3040008544922,-97.0,96.0,-2755.0,10.0,-12.0
1723940860.0694637,138.3090057373047,-110.0,101.0,-2738.0,13.0,-8.0
1723940860.0791636,138.31900024414062,-98.0,94.0,-2757.0,10.0,-2.0
1723940860.083697,138.32400512695312,-98.0,99.0,-2742.0,8.0,0.0
1723940860.0946963,138.33399963378906,-96.0,99.0,-2758.0,10.0,11.0
1723940860.0997427,138.33900451660156,-99.0,92.0,-2734.0,-5.0,-6.0
1723940860.1093524,138.3489990234375,-100.0,93.0,-2767.0,9.0,0.0
1723940860.1139963,138.35400390625,-90.0,104.0,-2760.0,7.0,-2.0
1723940860.1244285,138.36399841308594,-93.0,91.0,-2753.0,9.0,-5.0
1723940860.129337,138.36900329589844,-100.0,99.0,-2744.0,8.0,-5.0
1723940860.1386034,138.37899780273438,-93.0,91.0,-2759.0,8.0,0.0
1723940860.1446044,138.38400268554688,-97.0,94.0,-2747.0,-3.0,-19.0
1723940860.1546135,138.3939971923828,-97.0,94.0,-2759.0,-1.0,4.0
1723940860.1588242,138.3990020751953,-97.0,101.0,-2752.0,3.0,-6.0
1723940860.1700952,138.40899658203125,-94.0,97.0,-2744.0,5.0,-13.0
1723940860.1743517,138.41400146484375,-94.0,92.0,-2741.0,0.0,5.0
1723940860.1841989,138.4239959716797,-103.0,94.0,-2763.0,2.0,-13.0
1723940860.1893337,138.4290008544922,-102.0,99.0,-2740.0,-2.0,-12.0
1723940860.1990004,138.43899536132812,-91.0,90.0,-2754.0,1.0,-2.0
1723940860.2043526,138.44400024414062,-91.0,97.0,-2750.0,-3.0,-10.0
1723940860.2141862,138.45399475097656,-106.0,100.0,-2744.0,2.0,4.0
1723940860.2194428,138.45899963378906,-108.0,104.0,-2761.0,4.0,-1.0
1723940860.229418,138.468994140625,-96.0,103.0,-2745.0,6.0,-8.0
1723940860.2342262,138.4739990234375,-96.0,92.0,-2753.0,-1.0,1.0
1723940860.2451282,138.48399353027344,-105.0,92.0,-2732.0,3.0,-3.0
1723940860.2492898,138.48899841308594,-98.0,100.0,-2763.0,5.0,-9.0
1723940860.2594228,138.49899291992188,-92.0,94.0,-2740.0,8.0,-3.0
1723940860.2641444,138.50399780273438,-102.0,96.0,-2764.0,-3.0,-3.0
1723940860.27433,138.51400756835938,-96.0,106.0,-2742.0,12.0,5.0
1723940860.2792964,138.5189971923828,-98.0,101.0,-2757.0,4.0,6.0
1723940860.2896664,138.5290069580078,-103.0,97.0,-2755.0,0.0,-9.0
1723940860.2943993,138.53399658203125,-108.0,98.0,-2762.0,4.0,0.0
1723940860.304442,138.54400634765625,-91.0,91.0,-2747.0,4.0,-10.0
1723940860.3093462,138.5489959716797,-97.0,93.0,-2754.0,5.0,-4.0
1723940860.3186183,138.5590057373047,-103.0,93.0,-2744.0,13.0,-5.0
1723940860.3247123,138.56399536132812,-93.0,97.0,-2761.0,8.0,-6.0
1723940860.3343103,138.57400512695312,-100.0,100.0,-2748.0,3.0,-2.0
1723940860.339262,138.57899475097656,-98.0,104.0,-2759.0,5.0,5.0
1723940860.349425,138.58900451660156,-98.0,100.0,-2754.0,9.0,-13.0
1723940860.353474,138.593994140625,-93.0,95.0,-2763.0,-1.0,0.0
1723940860.3641734,138.60400390625,-98.0,104.0,-2748.0,6.0,12.0
1723940860.3688672,138.60899353027344,-99.0,92.0,-2755.0,-2.0,-8.0
1723940860.3799615,138.61900329589844,-100.0,96.0,-2744.0,2.0,6.0
1723940860.384741,138.62399291992188,-94.0,108.0,-2746.0,0.0,-5.0
1723940860.394411,138.63400268554688,-96.0,101.0,-2752.0,1.0,-11.0
1723940860.3999043,138.63900756835938,-98.0,104.0,-2746.0,3.0,1.0
1723940860.409469,138.6490020751953,-97.0,96.0,-2754.0,6.0,-16.0
1723940860.4139857,138.6540069580078,-100.0,95.0,-2748.0,2.0,-2.0
1723940860.4244962,138.66400146484375,-95.0,95.0,-2755.0,6.0,4.0
1723940860.4306893,138.66900634765625,-89.0,99.0,-2760.0,-3.0,-11.0
1723940860.4394147,138.6790008544922,-101.0,89.0,-2754.0,6.0,11.0
1723940860.444473,138.6840057373047,-103.0,91.0,-2741.0,7.0,1.0
1723940860.4544265,138.69400024414062,-108.0,93.0,-2752.0,-1.0,-16.0
1723940860.4593656,138.69900512695312,-99.0,92.0,-2748.0,8.0,2.0
1723940860.469466,138.70899963378906,-99.0,110.0,-2754.0,7.0,-14.0
1723940860.4744241,138.71400451660156,-97.0,100.0,-2763.0,3.0,-12.0
1723940860.4843616,138.7239990234375,-92.0,95.0,-2747.0,3.0,-4.0
1723940860.4894998,138.72900390625,-96.0,108.0,-2750.0,7.0,-5.0
1723940860.4998121,138.73899841308594,-99.0,96.0,-2741.0,4.0,-6.0
1723940860.5037103,138.74400329589844,-101.0,102.0,-2750.0,-3.0,2.0
1723940860.5140746,138.75399780273438,-100.0,94.0,-2756.0,6.0,-5.0
1723940860.5194006,138.75900268554688,-98.0,85.0,-2751.0,8.0,6.0
1723940860.5296712,138.7689971923828,-99.0,97.0,-2754.0,7.0,-16.0
1723940860.533799,138.7740020751953,-90.0,103.0,-2749.0,-1.0,-4.0
1723940860.5446985,138.78399658203125,-100.0,98.0,-2736.0,2.0,6.0
1723940860.5500238,138.78900146484375,-90.0,99.0,-2755.0,1.0,-15.0
1723940860.5595243,138.7989959716797,-98.0,92.0,-2750.0,-3.0,-1.0
1723940860.5636694,138.8040008544922,-93.0,97.0,-2745.0,1.0,4.0
1723940860.5746381,138.81399536132812,-105.0,96.0,-2746.0,5.0,-10.0
1723940860.579487,138.81900024414062,-95.0,97.0,-2756.0,4.0,-6.0
1723940860.5900242,138.82899475097656,-103.0,97.0,-2756.0,-1.0,-6.0
1723940860.594777,138.83399963378906,-99.0,94.0,-2759.0,6.0,-17.0
1723940860.604882,138.843994140625,-97.0,101.0,-2748.0,0.0,3.0
1723940860.6093206,138.8489990234375,-96.0,90.0,-2746.0,1.0,-8.0
1723940860.6194062,138.85899353027344,-98.0,102.0,-2749.0,4.0,-2.0
1723940860.6243837,138.86399841308594,-102.0,102.0,-2748.0,3.0,-2.0
1723940860.636399,138.87399291992188,-100.0,94.0,-2763.0,4.0,-11.0
1723940860.6393497,138.87899780273438,-100.0,98.0,-2756.0,7.0,-2.0
1723940860.6492558,138.88900756835938,-96.0,101.0,-2763.0,6.0,-9.0
1723940860.6544433,138.8939971923828,-100.0,90.0,-2750.0,0.0,-15.0
1723940860.6660903,138.9040069580078,-99.0,103.0,-2748.0,11.0,-3.0
1723940860.669486,138.90899658203125,-95.0,91.0,-2758.0,3.0,-14.0
1723940860.6793876,138.91900634765625,-103.0,101.0,-2751.0,3.0,-2.0
1723940860.684449,138.9239959716797,-104.0,104.0,-2748.0,5.0,-9.0
1723940860.6950364,138.9340057373047,-99.0,94.0,-2745.0,8.0,-11.0
1723940860.6991885,138.93899536132812,-93.0,98.0,-2752.0,2.0,-8.0
1723940860.7093964,138.94900512695312,-98.0,106.0,-2749.0,7.0,-12.0
1723940860.7145875,138.95399475097656,-106.0,99.0,-2748.0,5.0,-11.0
1723940860.724717,138.96400451660156,-97.0,99.0,-2746.0,11.0,-3.0
1723940860.7294922,138.968994140625,-94.0,95.0,-2758.0,0.0,-1.0
1723940860.7388473,138.97900390625,-93.0,98.0,-2757.0,1.0,-13.0
1723940860.743913,138.98399353027344,-108.0,97.0,-2752.0,-5.0,-3.0
1723940860.7544682,138.99400329589844,-100.0,95.0,-2754.0,11.0,-9.0
1723940860.7589536,138.99899291992188,-95.0,92.0,-2769.0,-4.0,-13.0
1723940860.76864,139.00900268554688,-98.0,95.0,-2760.0,5.0,-4.0
1723940860.774395,139.01400756835938,-86.0,96.0,-2749.0,8.0,-5.0
1723940860.784322,139.0240020751953,-101.0,100.0,-2755.0,10.0,-7.0
1723940860.7893348,139.0290069580078,-101.0,99.0,-2751.0,1.0,-4.0
1723940860.799364,139.03900146484375,-95.0,103.0,-2756.0,6.0,-3.0
1723940860.8049397,139.04400634765625,-95.0,88.0,-2738.0,-4.0,-10.0
1723940860.8142111,139.0540008544922,-89.0,99.0,-2757.0,6.0,-1.0
1723940860.8193157,139.0590057373047,-98.0,93.0,-2743.0,-3.0,-22.0
1723940860.8294895,139.06900024414062,-105.0,99.0,-2751.0,6.0,5.0
1723940860.834244,139.07400512695312,-109.0,89.0,-2746.0,-4.0,-7.0
1723940860.8442156,139.08399963378906,-103.0,96.0,-2745.0,3.0,-8.0
1723940860.8491626,139.08900451660156,-94.0,95.0,-2750.0,2.0,-4.0
1723940860.8617406,139.0989990234375,-92.0,98.0,-2753.0,6.0,-8.0
1723940860.8652773,139.10400390625,-88.0,88.0,-2756.0,6.0,-15.0
1723940860.874414,139.11399841308594,-91.0,105.0,-2756.0,7.0,5.0
1723940860.8793838,139.11900329589844,-100.0,94.0,-2747.0,-2.0,-9.0
1723940860.8893223,139.12899780273438,-94.0,92.0,-2760.0,4.0,-4.0
1723940860.8953414,139.13400268554688,-86.0,92.0,-2742.0,3.0,-8.0
1723940860.9047146,139.1439971923828,-97.0,96.0,-2748.0,4.0,-8.0
1723940860.9091053,139.1490020751953,-98.0,99.0,-2739.0,4.0,-8.0
1723940860.9203315,139.15899658203125,-95.0,94.0,-2755.0,1.0,1.0
1723940860.9244442,139.16400146484375,-96.0,95.0,-2745.0,1.0,1.0
1723940860.933767,139.1739959716797,-92.0,94.0,-2750.0,1.0,-7.0
1723940860.9388642,139.1790008544922,-95.0,95.0,-2760.0,7.0,-12.0
1723940860.9493618,139.18899536132812,-101.0,105.0,-2753.0,6.0,-3.0
1723940860.954371,139.19400024414062,-96.0,107.0,-2749.0,-2.0,6.0
1723940860.9639676,139.20399475097656,-99.0,99.0,-2765.0,2.0,-3.0
1723940860.9693742,139.20899963378906,-99.0,95.0,-2745.0,4.0,-7.0
1723940860.980668,139.218994140625,-103.0,99.0,-2759.0,10.0,1.0
1723940860.984496,139.2239990234375,-106.0,96.0,-2748.0,8.0,-9.0
1723940860.994421,139.23399353027344,-101.0,103.0,-2745.0,7.0,0.0
1723940860.9994311,139.23899841308594,-106.0,96.0,-2760.0,5.0,-2.0
1723940861.0084407,139.24899291992188,-89.0,93.0,-2742.0,5.0,-1.0
1723940861.013976,139.25399780273438,-92.0,99.0,-2741.0,4.0,-7.0
