Mag_X,Mag_Y,Mag_Z
-287.0,3417.0,4187.0
-322.0,3480.0,4202.0
-345.0,3470.0,4182.0
-432.0,3505.0,4182.0
-432.0,3545.0,4117.0
-470.0,3545.0,4050.0
-517.0,3717.0,4000.0
-595.0,3757.0,3882.0
-637.0,3822.0,3812.0
-547.0,4237.0,3695.0
-617.0,4307.0,3580.0
-727.0,4490.0,3532.0
-700.0,4602.0,3422.0
-930.0,4445.0,3265.0
-1020.0,4687.0,3025.0
-1020.0,4742.0,2925.0
-1155.0,4977.0,2740.0
-1192.0,5067.0,2680.0
-1292.0,5190.0,2375.0
-1292.0,5190.0,2375.0
-1360.0,5457.0,2020.0
-1465.0,5507.0,1700.0
-1517.0,5670.0,1557.0
-1622.0,5660.0,1345.0
-1652.0,5755.0,1237.0
-1675.0,5810.0,1137.0
-1757.0,5820.0,872.0
-1790.0,5902.0,725.0
-1862.0,5952.0,497.0
-1862.0,5952.0,497.0
-1957.0,5937.0,232.0
-1997.0,5912.0,105.0
-1997.0,5912.0,105.0
-2197.0,5947.0,-217.0
-2177.0,5922.0,-227.0
-2235.0,5937.0,-330.0
-2285.0,6155.0,-720.0
-2350.0,5810.0,-552.0
-2432.0,5872.0,-745.0
-2432.0,5872.0,-745.0
-2575.0,5760.0,-957.0
-2632.0,5750.0,-995.0
-2632.0,5750.0,-995.0
-2800.0,5592.0,-1162.0
-2835.0,5562.0,-1227.0
-2772.0,5487.0,-1237.0
-2892.0,5462.0,-1277.0
-2955.0,5412.0,-1292.0
-2977.0,5315.0,-1320.0
-2977.0,5315.0,-1320.0
-2967.0,5587.0,-1502.0
-3165.0,5220.0,-1325.0
-3165.0,5220.0,-1325.0
-3342.0,5077.0,-1212.0
-3417.0,5042.0,-1172.0
-3475.0,5007.0,-1125.0
-3532.0,4795.0,-1045.0
-3637.0,4790.0,-985.0
-3710.0,4622.0,-805.0
-3710.0,4622.0,-805.0
-3857.0,4450.0,-542.0
-3892.0,4370.0,-410.0
-3892.0,4370.0,-410.0
-4040.0,4212.0,-95.0
-3805.0,3995.0,297.0
-3935.0,3975.0,487.0
-3930.0,3842.0,852.0
-3825.0,3717.0,1300.0
-3772.0,3665.0,1557.0
-3522.0,3555.0,2020.0
-3342.0,3505.0,2262.0
-3160.0,3382.0,2680.0
-2867.0,3282.0,2917.0
-2772.0,3262.0,3015.0
-2475.0,3130.0,3365.0
-2265.0,3085.0,3532.0
-1910.0,3017.0,3857.0
-1710.0,2982.0,3995.0
-1332.0,2852.0,4167.0
-1102.0,2832.0,4255.0
-747.0,2750.0,4345.0
-590.0,2720.0,4432.0
-590.0,2720.0,4432.0
-97.0,2700.0,4550.0
197.0,2685.0,4620.0
312.0,2680.0,4605.0
480.0,2595.0,4600.0
685.0,2650.0,4600.0
790.0,2660.0,4610.0
1082.0,2615.0,4555.0
1160.0,2650.0,4575.0
1212.0,2605.0,4527.0
1455.0,3045.0,4280.0
1552.0,2957.0,4462.0
1662.0,2740.0,4487.0
1642.0,2775.0,4472.0
1632.0,2837.0,4412.0
1662.0,2952.0,4397.0
1565.0,2987.0,4355.0
1595.0,3075.0,4345.0
1580.0,3200.0,4340.0
1575.0,3267.0,4345.0
1575.0,3332.0,4270.0
1500.0,3422.0,4197.0
1480.0,3505.0,4132.0
1522.0,3682.0,4050.0
1527.0,3817.0,4132.0
1517.0,3945.0,4062.0
1527.0,3990.0,4030.0
1397.0,3915.0,4010.0
1447.0,3960.0,3995.0
1455.0,4040.0,3915.0
1370.0,4102.0,3892.0
1375.0,4137.0,3797.0
1355.0,4217.0,3742.0
1270.0,4355.0,3690.0
1270.0,4355.0,3690.0
1297.0,4557.0,3645.0
1230.0,4607.0,3580.0
1202.0,4677.0,3487.0
1155.0,4737.0,3457.0
1050.0,4780.0,3395.0
1082.0,4825.0,3375.0
1025.0,4967.0,3300.0
1020.0,4997.0,3270.0
920.0,5132.0,3192.0
895.0,5185.0,3152.0
842.0,5230.0,3010.0
830.0,5397.0,3020.0
837.0,5447.0,2935.0
842.0,5512.0,2812.0
905.0,5680.0,2725.0
905.0,5680.0,2725.0
1025.0,5795.0,2442.0
1050.0,5897.0,2360.0
1217.0,5932.0,2222.0
1217.0,5932.0,2222.0
1427.0,6105.0,2142.0
1575.0,6080.0,1837.0
1622.0,6555.0,1735.0
1782.0,6210.0,1685.0
1925.0,6262.0,1502.0
1972.0,6362.0,1477.0
2030.0,6352.0,1370.0
2030.0,6352.0,1370.0
2135.0,6442.0,1330.0
