Timestamp (ns),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1724512018160373247,-200.0,-81.0,2704.0,5.0,-2.0,3.0
1724512018165378130,-195.0,-88.0,2706.0,-1.0,-8.0,-3.0
1724512018170352495,-184.0,-77.0,2704.0,1.0,-9.0,2.0
1724512018175357378,-190.0,-92.0,2704.0,8.0,0.0,-3.0
1724512018180362261,-187.0,-85.0,2708.0,1.0,-9.0,-5.0
1724512018185367144,-196.0,-85.0,2706.0,1.0,-11.0,-3.0
1724512018190372026,-198.0,-88.0,2702.0,7.0,-9.0,3.0
1724512018195376909,-195.0,-82.0,2707.0,9.0,-13.0,-6.0
1724512018200381792,-193.0,-85.0,2711.0,11.0,0.0,2.0
1724512018205356157,-185.0,-88.0,2711.0,2.0,-11.0,-2.0
1724512018210361040,-195.0,-89.0,2705.0,8.0,-10.0,-6.0
1724512018215365923,-193.0,-89.0,2710.0,-3.0,-11.0,4.0
1724512018220370806,-195.0,-92.0,2700.0,-1.0,1.0,-7.0
1724512018225375689,-190.0,-86.0,2696.0,5.0,-8.0,-7.0
1724512018230380571,-190.0,-85.0,2711.0,3.0,-6.0,-8.0
1724512018235354937,-188.0,-90.0,2703.0,2.0,-16.0,1.0
1724512018240359819,-193.0,-84.0,2704.0,2.0,1.0,-1.0
1724512018245364702,-198.0,-80.0,2706.0,5.0,-13.0,-4.0
1724512018250369585,-194.0,-93.0,2704.0,5.0,-9.0,-1.0
1724512018255374468,-190.0,-90.0,2699.0,11.0,-9.0,-6.0
1724512018260379351,-194.0,-91.0,2699.0,2.0,-6.0,-1.0
1724512018265353716,-194.0,-91.0,2699.0,2.0,-6.0,3.0
1724512018270358599,-189.0,-90.0,2710.0,5.0,-9.0,0.0
1724512018275363482,-185.0,-101.0,2712.0,5.0,-14.0,1.0
1724512018280368364,-191.0,-91.0,2715.0,-4.0,-9.0,-3.0
1724512018285373247,-184.0,-96.0,2714.0,5.0,-4.0,0.0
1724512018290378130,-190.0,-86.0,2701.0,4.0,-3.0,2.0
1724512018295352495,-192.0,-87.0,2699.0,3.0,-9.0,-7.0
1724512018300357378,-197.0,-89.0,2703.0,3.0,-3.0,5.0
1724512018305362261,-189.0,-93.0,2698.0,2.0,-6.0,-5.0
1724512018310367144,-190.0,-93.0,2704.0,5.0,1.0,1.0
1724512018315372026,-196.0,-89.0,2700.0,2.0,-8.0,0.0
1724512018320376909,-190.0,-96.0,2708.0,2.0,2.0,-1.0
1724512018325381792,-195.0,-87.0,2714.0,6.0,-11.0,-3.0
1724512018330356157,-196.0,-90.0,2704.0,2.0,-7.0,-3.0
1724512018335361040,-191.0,-92.0,2706.0,0.0,-13.0,0.0
1724512018340365923,-191.0,-80.0,2702.0,8.0,-12.0,2.0
1724512018345370806,-196.0,-89.0,2701.0,7.0,-2.0,1.0
1724512018350375689,-192.0,-91.0,2706.0,-1.0,-10.0,-3.0
1724512018355380571,-191.0,-92.0,2712.0,-2.0,-18.0,-1.0
1724512018360354937,-188.0,-80.0,2699.0,9.0,-10.0,-5.0
1724512018365359819,-177.0,-75.0,2699.0,0.0,-5.0,0.0
1724512018370364702,-189.0,-89.0,2702.0,7.0,-13.0,0.0
1724512018375369585,-186.0,-87.0,2716.0,5.0,-3.0,-4.0
1724512018380374468,-195.0,-86.0,2712.0,3.0,-2.0,-4.0
1724512018385379351,-193.0,-97.0,2707.0,0.0,-8.0,5.0
1724512018390353716,-192.0,-91.0,2719.0,4.0,0.0,2.0
1724512018395358599,-193.0,-80.0,2712.0,8.0,-7.0,-2.0
1724512018400363482,-202.0,-87.0,2703.0,1.0,-13.0,-3.0
1724512018405368364,-191.0,-85.0,2704.0,9.0,1.0,3.0
1724512018410373247,-189.0,-88.0,2705.0,3.0,-9.0,-6.0
1724512018415378130,-196.0,-84.0,2709.0,6.0,-13.0,0.0
1724512018420352495,-192.0,-92.0,2703.0,8.0,-4.0,-9.0
1724512018425357378,-189.0,-93.0,2697.0,2.0,-14.0,3.0
1724512018430362261,-189.0,-93.0,2701.0,11.0,-5.0,-5.0
1724512018435367144,-192.0,-87.0,2706.0,3.0,-7.0,-3.0
1724512018440372026,-190.0,-85.0,2706.0,8.0,-16.0,2.0
1724512018445376909,-185.0,-92.0,2711.0,2.0,-10.0,1.0
1724512018450381792,-191.0,-92.0,2693.0,4.0,0.0,3.0
1724512018455356157,-193.0,-92.0,2698.0,10.0,-11.0,-4.0
1724512018460361040,-200.0,-91.0,2703.0,1.0,-9.0,3.0
1724512018465365923,-195.0,-82.0,2710.0,5.0,-13.0,4.0
1724512018470370806,-186.0,-88.0,2707.0,7.0,-4.0,-7.0
1724512018475375689,-184.0,-85.0,2706.0,4.0,-10.0,0.0
1724512018480380571,-191.0,-84.0,2709.0,-6.0,-11.0,0.0
1724512018485354937,-199.0,-81.0,2716.0,11.0,-11.0,-2.0
1724512018490359819,-197.0,-86.0,2711.0,-3.0,-10.0,-6.0
1724512018495364702,-203.0,-87.0,2710.0,-2.0,-4.0,2.0
1724512018500369585,-192.0,-93.0,2716.0,5.0,-10.0,1.0
1724512018505374468,-189.0,-87.0,2709.0,8.0,-6.0,-4.0
1724512018510379351,-190.0,-89.0,2707.0,6.0,-14.0,-5.0
1724512018515353716,-186.0,-96.0,2706.0,4.0,-1.0,-4.0
1724512018520358599,-182.0,-92.0,2706.0,3.0,-13.0,-7.0
1724512018525363482,-193.0,-85.0,2702.0,3.0,-4.0,6.0
1724512018530368364,-195.0,-85.0,2704.0,7.0,-6.0,-2.0
1724512018535373247,-189.0,-92.0,2701.0,0.0,-5.0,4.0
1724512018540378130,-191.0,-96.0,2706.0,6.0,-16.0,-2.0
1724512018545352495,-193.0,-81.0,2711.0,2.0,-13.0,-6.0
1724512018550357378,-181.0,-85.0,2716.0,4.0,-9.0,-2.0
1724512018555362261,-185.0,-93.0,2712.0,1.0,-4.0,-3.0
1724512018560367144,-186.0,-87.0,2701.0,4.0,-7.0,3.0
1724512018565372026,-191.0,-99.0,2706.0,1.0,-13.0,0.0
1724512018570376909,-186.0,-96.0,2716.0,11.0,-12.0,-2.0
1724512018575381792,-186.0,-90.0,2704.0,2.0,-6.0,0.0
1724512018580356157,-193.0,-90.0,2703.0,-1.0,-11.0,-4.0
