timestamp_ns,time_sec,absolute_error
1727873207840797300,1727873207.8407972,7.373592940256749
1727873208154676000,1727873208.154676,4.1010618649603146
1727873208414970000,1727873208.4149702,5.512335260117418
1727873212687691100,1727873212.687691,7.85066975807689
1727873213285521100,1727873213.2855213,4.086904793050593
1727873214619862200,1727873214.6198623,3.9934574272625127
1727873215368271100,1727873215.368271,2.6440694490343333
1727873215898550700,1727873215.8985507,4.186742978013228
1727873217027359000,1727873217.027359,2.1372944797958624
1727873218360339300,1727873218.3603392,5.3021748296675
1727873219190784600,1727873219.1907845,5.756374376555502
1727873219988837600,1727873219.9888377,6.894812848136912
1727873220555816400,1727873220.5558164,4.77030722852509
1727873221060896300,1727873221.0608962,7.222065479942593
1727873221334643700,1727873221.3346436,7.569931335888441
1727873222710484700,1727873222.7104847,5.0954382206145965
