Mag_X,Mag_Y,Mag_Z
-25.1624355948004,-12.1249834787177,-36.9668319695175
-25.1624355948004,-12.1249834787177,-36.9668319695175
-27.5286477478651,-12.4860596957835,-36.7215724904778
-27.5286477478651,-12.4860596957835,-36.7215724904778
-26.5708980312155,-12.1364567269116,-38.122078141255
-26.5708980312155,-12.1364567269116,-38.122078141255
-27.0585411189771,-11.9409639411031,-37.5983261062372
-27.0585411189771,-11.9409639411031,-37.5983261062372
-27.8690459070204,-12.4851070118163,-36.7377176427914
-27.8690459070204,-12.4851070118163,-36.7377176427914
-27.2185393866226,-12.8700414946871,-37.4378250194517
-27.2185393866226,-12.8700414946871,-37.4378250194517
-27.2351179350884,-12.5022964798102,-37.7961007348397
-27.2351179350884,-12.5022964798102,-37.7961007348397
-25.0151928002221,-12.3195236865152,-37.5067371611945
-25.0151928002221,-12.3195236865152,-37.5067371611945
-25.9866537663188,-13.4199007852004,-36.4803534763167
-25.9866537663188,-13.4199007852004,-36.4803534763167
-26.0842128538618,-11.9591059871081,-38.6405560416264
-26.0842128538618,-11.9591059871081,-38.6405560416264
-25.7116115603525,-12.3227129076242,-37.9025773454445
-25.7116115603525,-12.3227129076242,-37.9025773454445
-25.7116115603525,-12.3227129076242,-37.9025773454445
-25.3693018685181,-13.0693450213849,-37.8969963601386
-25.3693018685181,-13.0693450213849,-37.8969963601386
-26.9832948476712,-10.7969714072901,-35.7646987805356
-26.9832948476712,-10.7969714072901,-35.7646987805356
-25.6354098730537,-11.5515562830128,-36.0742399670275
-25.6354098730537,-11.5515562830128,-36.0742399670275
-25.8266533646452,-12.4908231256601,-36.6408465587567
-25.8266533646452,-12.4908231256601,-36.6408465587567
-25.8148539982239,-10.9943657603582,-36.2561682896304
-25.8148539982239,-10.9943657603582,-36.2561682896304
-27.6749351063699,-12.6643632305306,-36.1869573570618
-27.6749351063699,-12.6643632305306,-36.1869573570618
-27.0078500375064,-13.4170427282784,-36.528789018334
-27.0078500375064,-13.4170427282784,-36.528789018334
-26.3720083888269,-14.1799154367812,-37.5977283285326
-26.3720083888269,-14.1799154367812,-37.5977283285326
-27.2858090165592,-11.0262176926348,-38.8656378227429
